ts,val,status,severity
'2022-11-25 23:28:06.523953684',-1.464620305,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.423922018',-1.471342845,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.323149351',-1.466865760,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.223717351',-1.466598307,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.127135017',-1.465935458,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.024246351',-1.461330571,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.924592351',-1.465371486,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.824644351',-1.475953500,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.724321684',-1.466808758,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.624983684',-1.477516398,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.525013017',-1.469189679,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.424227684',-1.465431231,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.324966351',-1.470462278,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.224951017',-1.470792614,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.124773017',-1.468699532,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.024902017',-1.458892676,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.925460017',-1.464212637,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.824548017',-1.464923639,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.725235017',-1.471541052,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.625419351',-1.475626415,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.525769351',-1.461917050,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.433366017',-1.471779919,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.325659351',-1.463034532,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.225473684',-1.480588217,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.125474017',-1.475395126,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.025566351',-1.460625337,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.925647351',-1.468161036,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.825586017',-1.466236529,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.725669684',-1.470619939,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.625620684',-1.459633282,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.525932017',-1.467026475,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.425486351',-1.460663112,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.325775684',-1.465904893,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.226011350',-1.467166012,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.127786350',-1.479143763,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.026133350',-1.473619827,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.925954684',-1.472483230,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.826784350',-1.469207464,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.733449017',-1.476304788,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.625210350',-1.470451477,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.526460684',-1.475270660,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.426196017',-1.471924856,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.326514017',-1.467580890,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.226720017',-1.472683615,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.126887684',-1.472122527,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.026945350',-1.465293616,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.926536017',-1.483014491,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.827040684',-1.472536330,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.727222017',-1.470125608,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.625916350',-1.470395379,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.527369684',-1.461368600,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.434086684',-1.476308153,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.326154017',-1.475297153,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.227569350',-1.469185664,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.127579684',-1.472568111,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.027438684',-1.460524791,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.928014350',-1.470264890,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.827390684',-1.478925735,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.727932684',-1.468628986,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.628174684',-1.460081213,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.528110683',-1.458536213,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.427757017',-1.463008548,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.327017017',-1.472221461,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.228374350',-1.468722661,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.133517683',-1.478304732,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:00.028720683',-1.472448339,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.928556017',-1.466130866,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.827940350',-1.465764536,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.728004017',-1.463989123,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.628816017',-1.460962261,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.528944017',-1.463409062,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.429062350',-1.473399650,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.328939017',-1.474757130,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.228972017',-1.467052036,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.129188017',-1.474194628,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:59.029359017',-1.467038124,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.928531350',-1.467617506,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.834289683',-1.473854452,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.729700683',-1.480667868,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.629890350',-1.480826066,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.528869350',-1.466892537,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.429842683',-1.467784357,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.330033350',-1.458273878,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.230103017',-1.475830278,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.130184017',-1.469747289,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:58.029889017',-1.472487104,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.930197683',-1.462667269,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.830413683',-1.457693479,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.730567350',-1.466724470,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.630546016',-1.473221235,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.530656016',-1.469141979,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.430600683',-1.475158606,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.329995350',-1.475820381,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.229872016',-1.466546621,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.130014683',-1.459700972,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:57.030602683',-1.465925109,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.931226350',-1.462811528,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.830605683',-1.480458690,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.736781350',-1.471428546,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.631074350',-1.460485460,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.531093350',-1.456093908,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.430396350',-1.467983667,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.331410350',-1.467127586,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.231292350',-1.471311120,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.131374016',-1.454147488,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:56.031478683',-1.456585638,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.931787016',-1.455783194,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.831533683',-1.462180572,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.731647016',-1.466946485,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.631752683',-1.474796291,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.532084350',-1.462547977,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.432227683',-1.468379460,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.331743683',-1.472872435,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.232248683',-1.473880776,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.131953350',-1.470670042,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:55.040269350',-1.482749724,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:54.932386349',-1.467728684,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:54.832617016',-1.467912414,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:54.732717016',-1.463381240,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:54.632723683',-1.466097134,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:54.432799683',-1.465453511,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:54.332824683',-1.459180204,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:54.233014016',-1.456336337,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:54.133300016',-1.450565221,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:54.033371016',-1.464953582,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:53.932539683',-1.463720822,'NO_ALARM','NO_ALARM'
'2022-11-25 23:27:53.833636683',-1.463776467,'NO_ALARM','NO_ALARM'
